Rnd,Pick,Tm,Player,Pos,Age,To,Misc.AP1,Misc.PB,St,wAV,DrAV,G,Pass.Cmp,Pass.Att,Pass.Yds,Pass.TD,Pass.Int,Rush.Att,Rush.Yds,Rush.TD,Rec.Rec,Rec.Yds,Rec.TD,Solo,Int,Sk,College/Univ,,-9999
1,1,JAX,Travon Walker,DE,21,2023,0,0,1,14,14,32,0,0,0,0,0,0,0,0,0,0,0,51,1,13.5,Georgia,College Stats,WalkTr03
1,2,DET,Aidan Hutchinson,DE,22,2023,0,1,1,18,18,34,0,0,0,0,0,0,0,0,0,0,0,70,4,21,Michigan,College Stats,HutcAi00
1,3,HOU,Derek Stingley Jr.,CB,21,2023,0,0,1,8,8,20,0,0,0,0,0,0,0,0,0,0,0,63,6,1,LSU,College Stats,StinDe00
1,4,NYJ,Sauce Gardner,CB,22,2023,2,2,1,26,26,33,0,0,0,0,0,0,0,0,0,0,0,92,2,,Cincinnati,College Stats,GardSa00
1,5,NYG,Kayvon Thibodeaux,DE,21,2023,0,0,1,16,16,31,0,0,0,0,0,0,0,0,0,0,0,59,,15.5,Oregon,College Stats,ThibKa00
1,6,CAR,Ikem Ekwonu,T,21,2023,0,0,1,13,13,34,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.,College Stats,EkwoIk00
1,7,NYG,Evan Neal,OL,21,2023,0,0,1,8,8,20,0,0,0,0,0,0,0,0,0,0,0,1,,,Alabama,College Stats,NealEv00
1,8,ATL,Drake London,WR,21,2023,0,0,1,16,16,33,1,1,22,0,0,0,0,0,141,1771,6,2,,,USC,College Stats,LondDr00
1,9,SEA,Charles Cross,OL,21,2023,0,0,1,16,16,31,0,0,0,0,0,0,0,0,0,0,0,,,,Mississippi St.,College Stats,CrosCh00
1,10,NYJ,Garrett Wilson,WR,22,2023,0,0,1,15,15,34,0,2,0,0,0,8,4,0,178,2145,7,1,,,Ohio St.,College Stats,WilsGa00
1,11,NOR,Chris Olave,WR,22,2023,0,0,1,18,18,31,0,0,0,0,0,0,0,0,159,2165,9,3,,,Ohio St.,College Stats,OlavCh00
