Player,Team,Rec,Yds,Avg,Lg,TD,"Stat Type"
"Trey Quinn",SMU,114,"1,236",10.84,77t,13,Receiving
"Steve Ishmael",SYR,105,"1,347",12.83,44,7,Receiving
"Michael Gallup",CSU,99,"1,407",14.21,76,7,Receiving
"Gary Jennings",WVU,97,"1,096",11.30,60t,1,Receiving
"Anthony Miller",MEM,96,"1,462",15.23,89t,18,Receiving
"Keke Coutee",TTU,93,"1,429",15.37,77t,10,Receiving
"Ervin Philips",SYR,89,904,10.16,66t,4,Receiving
"Deontay Burnett",USC,86,"1,114",12.95,42,9,Receiving
"Olamide Zaccheaus",UVA,85,895,10.53,81t,5,Receiving
"Ryan Davis",AUB,84,815,9.70,75t,5,Receiving
"Cedrick Wilson",BSU,83,"1,511",18.20,65,7,Receiving
"N'Keal Harry",AZST,82,"1,142",13.93,70,8,Receiving
"Linell Bonner",HOU,80,889,11.11,62t,5,Receiving
"D.J. Moore",MD,80,"1,033",12.91,52t,8,Receiving
"Ty Lee",MTSU,79,955,12.09,63t,5,Receiving
"Justin Hall",BALL,78,801,10.27,47t,3,Receiving
"KeeSean Johnson",FRES,77,"1,013",13.16,81t,8,Receiving
"Steven Dunbar",HOU,77,"1,079",14.01,75t,3,Receiving
"Jaleel Scott",NMST,76,"1,079",14.20,41,9,Receiving
"Korey Robertson",USM,76,"1,106",14.55,70,12,Receiving
"Anthony Johnson",BUFF,76,"1,356",17.84,69t,14,Receiving
"Jaylen Samuels",NCST,75,593,7.91,79,4,Receiving
"A.J. Brown",MISS,75,"1,252",16.69,77t,11,Receiving
"Nacarius Fant",WKU,74,704,9.51,28,4,Receiving
"Penny Hart",GAST,74,"1,121",15.15,70,8,Receiving
"Diontae Johnson",TOL,74,"1,278",17.27,89,13,Receiving
"James Washington",OKST,74,"1,549",20.93,86t,13,Receiving
"Teddy Veal",LT,73,946,12.96,44,7,Receiving
"Simmie Cobbs Jr.",IND,72,841,11.68,35,8,Receiving
"James Williams",WSU,71,482,6.79,24t,3,Receiving
"Dylan Cantrell",TTU,71,816,11.49,42t,7,Receiving
"Christian Kirk",TAMU,71,919,12.94,81t,10,Receiving
"Allen Lazard",IAST,71,941,13.25,36t,10,Receiving
"Cam Phillips",VT,71,964,13.58,45t,7,Receiving
"Tavares Martin Jr.",WSU,70,831,11.87,57t,9,Receiving
"Darren Carrington",UTAH,70,980,14.00,46,6,Receiving
"Kelvin Harmon",NCST,69,"1,017",14.74,48t,4,Receiving
"Jordan Lasley",UCLA,69,"1,264",18.32,59,9,Receiving
"Luke Timian",IND,68,589,8.66,25,2,Receiving
"Courtland Sutton",SMU,68,"1,085",15.96,62t,12,Receiving
"Wyatt Demps",NEV,67,908,13.55,82,11,Receiving
"Kyle Williams",AZST,66,763,11.56,54,7,Receiving
"T.J. Rahming",DUKE,65,795,12.23,57,2,Receiving
"Andy Isabella",MASS,65,"1,020",15.69,69t,10,Receiving
"J'Mon Moore",MIZZ,65,"1,082",16.65,71,10,Receiving
"Adam Breneman",MASS,64,764,11.94,41,4,Receiving
"Bryan Edwards",SCAR,64,793,12.39,41,5,Receiving
"Alfonso Onunwor",IDHO,64,856,13.38,65t,8,Receiving
"Jakobi Meyers",NCST,63,727,11.54,71t,5,Receiving
"Scott Miller",BGSU,63,727,11.54,69,4,Receiving
"Dante Pettis",WASH,63,761,12.08,73t,7,Receiving
"Calvin Ridley",ALA,63,967,15.35,78t,5,Receiving
"Bryce Bobo",COL,62,693,11.18,38,5,Receiving
"Michael Lawrence",UNT,62,819,13.21,49,4,Receiving
"Tyre Brady",MRSH,62,942,15.19,76t,8,Receiving
"Mark Andrews",OKLA,62,958,15.45,59t,8,Receiving
"Austin Conway",WYO,61,549,9.00,41,3,Receiving
"Kahlil Lewis",CINN,61,676,11.08,75t,7,Receiving
"Vic Wharton",CAL,61,785,12.87,67t,5,Receiving
"Stanley Morgan Jr.",NEB,61,986,16.16,80t,10,Receiving
"Ka'Raun White",WVU,61,"1,004",16.46,76t,12,Receiving
"Denzel Mims",BAY,61,"1,087",17.82,71t,8,Receiving
"Jamal Morrow",WSU,60,506,8.43,43,5,Receiving
"Isaiah Johnson-Mack",WSU,60,555,9.25,29,5,Receiving
"Hunter Renfrow",CLEM,60,602,10.03,61t,3,Receiving
"Darren Andrews",UCLA,60,774,12.90,65t,10,Receiving
"David Sills V",WVU,60,980,16.33,75t,18,Receiving
"Jaylen Smith",LOU,60,980,16.33,75t,7,Receiving
"Trevon Brown",ECU,60,"1,069",17.82,95t,7,Receiving
"Cameron Batson",TTU,59,487,8.25,30t,5,Receiving
"Jacob Sannon",IDHO,59,608,10.31,39,1,Receiving
"Steven Sims Jr.",KAN,59,839,14.22,77t,6,Receiving
"Mark Chapman",CMU,59,875,14.83,75t,5,Receiving
"Davon Grayson",ECU,59,886,15.02,75t,6,Receiving
"Thomas Owens",FIU,59,887,15.03,75t,6,Receiving
"Marcell Ateman",OKST,59,"1,156",19.59,69t,8,Receiving
"Tre'Quan Smith",UCF,59,"1,171",19.85,79t,13,Receiving
"Kyle Sweet",WSU,58,533,9.19,38,2,Receiving
"Deon Cain",CLEM,58,734,12.66,61t,6,Receiving
"Mike Gesicki",PSU,57,563,9.88,35,9,Receiving
"Da'Mari Scott",FRES,57,566,9.93,35,1,Receiving
"McLane Mannix",NEV,57,778,13.65,75t,6,Receiving
"Tyler Vaughns",USC,57,809,14.19,42t,5,Receiving
"Marquise Brown",OKLA,57,"1,095",19.21,87t,7,Receiving
"K.J. Hill",OSU,56,549,9.80,29,3,Receiving
"Theo Howard",UCLA,56,594,10.61,70t,4,Receiving
"Dylan Collie",HAW,56,636,11.36,50,4,Receiving
"Willie Wright",FAU,56,657,11.73,95t,6,Receiving
"Kanawai Noa",CAL,56,788,14.07,75t,4,Receiving
"Larry Rose III",NMST,55,522,9.49,68,2,Receiving
"Felton Davis III",MSU,55,776,14.11,49t,9,Receiving
"Justin Hobbs",TULS,55,830,15.09,69t,3,Receiving
"JD Spielman",NEB,55,830,15.09,77t,2,Receiving
"Ryan Yurachek",MRSH,54,490,9.07,31t,10,Receiving
"Saquon Barkley",PSU,54,632,11.70,85t,3,Receiving
"Braxton Berrios",MIA,54,670,12.41,55,9,Receiving
"Andre Wilson",UAB,54,677,12.54,58t,6,Receiving
"Juwan Johnson",PSU,54,701,12.98,43,1,Receiving
"Collin Johnson",TEX,54,765,14.17,48,2,Receiving
"Marcus Green",ULM,54,812,15.04,80t,5,Receiving
